KAUFDATUM;PRODUKT;GRÖßE;EINZELPREIS;STORE;MARKTWERT;VERKAUFSDATUM;VERKAUFSPREIS;VERKAUFSERLÖS;PROFIT;ZAHLUNG;VERKAUFSPLATTFORM;SALDO;MAX EINNAHMEN Netto;MAX EINNAHMEN Brutto;LAGERWERT;SCHUHE RÜCKZAHLEN
7. Dezember 2019;Air Jordan Nike AJ I 1 High 'Zoom Fearless';43;-175,00 €;NIKE;;13. Dez. 2019;175,00 €;175,00 €;0,00 €;Bar;Yannic;;;;;
18. Dezember 2019;Air Jordan Nike AJ I 1 Mid 'Past, Present, Future' (Sneakersnstuff SNS Exclusive);43;-139,00 €;SNS;;18. Dez. 2019;200,00 €;170,00 €;31,00 €;PAYPAL;StockX;;;;;
19. Dezember 2019;Air Jordan x Nike SB AJ I 1 Retro High OG 'NY to Paris';47,5;-149,99 €;Footlocker;;26. Jan. 2020;190,00 €;162,20 €;12,21 €;PAYPAL;StockX;;;;;
21. Dezember 2019;Air Jordan x Lance Mountain x Nike SB AJ I 1 Low ’Desert Ore’;43;-100,00 €;NIKE;;13. Jan. 2020;155,00 €;130,62 €;30,62 €;PAYPAL;StockX;;;;;
23. Dezember 2019;Adidas Yeezy 700 V3 'Azael';45,5;-199,99 €;Adidas;;8. Jan. 2020;463,00 €;390,00 €;190,01 €;PAYPAL;KLEKT;;;;;
14. Januar 2020;Adidas Yeezy Boost 700 V2 'Vanta';46;-299,95 €;Adidas;;23. Jan. 2020;365,00 €;316,20 €;16,25 €;PAYPAL;StockX;;;;;
27. Januar 2020;Air Force AF I 1 Low ’07 LV8 White/Sail;45;-72,50 €;NIKE;;;WEARING;;;;;;;;;
6. Februar 2020;Nike x Off-White Hoodie Black (SS20);M;-205,00 €;Farfetch;;;WEARING;;;;;;;;;
8. Februar 2020;Air Jordan Nike AJ I 1 Retro High 85 'Varsity Red' Reverse Bred (2020);45,5;-199,00 €;SNS;;17. März 2022;449,00 €;390,63 €;191,63 €;HyperWallet;StockX;;;;;
15. Februar 2020;Air Jordan Nike AJ V x Off-White ‚Muslin' (2020);45,5;-225,00 €;NIKE;;15. Apr. 2020;626,00 €;535,00 €;310,00 €;PAYPAL;KLEKT;;;;;
26. März 2020;Adidas Yeezy Boost 380 'Mist' (Non-Reflective) (2020);45;-230,00 €;Solebox;;29. März 2020;230,00 €;230,00 €;0,00 €;PAYPAL;RETOURE;;;;;
26. März 2020;Converse x Fear of God Chuck Taylor 70s Hi White/Cream;43;-110,00 €;Converse;;2. Apr. 2020;147,00 €;124,36 €;14,36 €;PAYPAL;StockX;;;;;
30. März 2020;Nike SB Dunk Low Pro Hennessy;43;-95,00 €;NIKE;;9. Apr. 2020;129,00 €;108,52 €;13,52 €;PAYPAL;StockX;;;;;
31. März 2020;Nike SB Dunk Low Pro Hennessy;45;-95,00 €;NIKE;;9. Apr. 2020;182,00 €;107,64 €;12,64 €;PAYPAL;StockX;;;;;
2. April 2020;Converse x Comme des Garçons Play Chuck Taylor 70 Hi Strawberry Pink;43;-140,00 €;Converse;;21. Apr. 2020;140,00 €;140,00 €;0,00 €;PAYPAL;RETOURE;;;;;
2. April 2020;Converse x Comme des Garçons Play Chuck Taylor 70 Hi Baltic Sea;43;-140,00 €;Converse;;14. Apr. 2020;171,00 €;145,48 €;5,48 €;PAYPAL;StockX;;;;;
4. April 2020;Air Jordan Nike AJ I Retro High OG 'Court Purple' (2020);47,5;-174,15 €;Offspring;;14. Apr. 2020;226,00 €;193,00 €;18,85 €;PAYPAL;KLEKT;;;;;
4. April 2020;Air Jordan Nike AJ I Retro High OG 'Court Purple' (2020);44;-159,99 €;Footlocker;;11. Apr. 2020;255,00 €;193,00 €;33,01 €;PAYPAL;StockX;;;;;
4. April 2020;Air Jordan Nike AJ I Retro High OG 'Court Purple' (2020);45;-159,99 €;Footlocker;;11. Apr. 2020;211,00 €;189,68 €;29,69 €;PAYPAL;StockX;;;;;
4. April 2020;Air Jordan Nike AJ I Retro High OG 'Court Purple' (2020);46;-159,99 €;Footlocker;;11. Apr. 2020;222,00 €;190,36 €;30,37 €;PAYPAL;StockX;;;;;
10. Juli 2020;Reebok x Sneeze Mag Club C Revenge Mu White (2020);45;-119,95 €;Overkill;;10. Aug. 2020;129,95 €;122,40 €;2,45 €;Gutschein Overkill;RETOURE + Yamuntu Cashback;;;;;
11. Juli 2020;Nike WMNS Air Force 1 07 LX 'Bling' (2020);39;-119,99 €;BSTN;;24. Juli 2020;WEARING;10,00 €;;PAYPAL;Yamuntu Cashback;;;;;
